ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,,,valley,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,al_scip-card-2
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,ak,35233.0,jefferson,2053258100.0,acute care hospitals,,yes,surgical infection prevention,cac-2,heart attack patients given aspirin at arrival,,240 patients,ak_scip-inf-6
10019,helen keller memorial hospital,1108 ross clark circle,,,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,,scip-card-2,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
10007,,,,,gadsden,al,36467.0,covington,,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
10007,mizell memorial hospital,1912 alabama highway 157,,,opp,ak,36467.0,covington,3344933541.0,acute care hospitals,,no,heart failure,hf-1,heart failure patients given discharge instructions,98%,59 patients,al_scip-vte-1
10007,mizell memorial hospital,702 n main st,,,guntersville,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,heart attack,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,,76 patients,al_hf-2
10007,mizell memorial hospital,702 n main st,,,opp,,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),64%,14 patients,al_hf-3
10007,mizell memorial hospital,702 n main st,,,winfield,al,36467.0,covington,3342836541.0,acute care hospitals,voluntary non-profit - private,no,heart failure,scip-vte-1,heart failure patients given smoking cessation advice/counseling,100%,8 patients,al_hf-4
10007,g h lanier memorial hospital,702 n main st,,,opp,al,36467.0,franklin,,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,85 patients,al_pn-2
10007,mizell memorial hospital,702 n main st,,,enterprise,al,36467.0,fayette,3344933541.0,acute care hospitals,government - state,,pneumonia,scip-inf-1,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,64 patients,al_pn-3b
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,71%,29 patients,al_pn-4
10007,shelby baptist medical center,1725 pine street,,,cullman,al,,morgan,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,121 patients,al_hf-3
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,2054877736.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,57 patients,al_pn-6
10019,shelby baptist medical center,1300 south montgomery avenue,,,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,children s asthma care,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,2053258100.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-7,,,423 patients,al_ami-4
10007,,1912 alabama highway 157,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-inf-1,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,91%,11 patients,al_scip-card-2
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,jefferson,3348972257.0,acute care hospitals,voluntary non-profit - private,no,children s asthma care,scip-inf-1,heart attack patients given aspirin at discharge,88%,101 patients,al_scip-inf-1
10007,mizell memorial hospital,,,,opp,al,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-2,heart attack patients given pci within 90 minutes of arrival,91%,101 patients,al_scip-inf-2
10007,riverview regional medical center,702 n main st,,,opp,al,36467.0,covington,3347935000.0,acute care hospitals,,no,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),93%,100 patients,al_hf-3
10007,marshall medical center south,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,,,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,0 patients,
10007,st vincents hospital,619 south 19th street,,,andalusia,al,,cherokee,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-6,pneumonia patients assessed and given pneumococcal vaccination,100%,123 patients,al_scip-inf-6
10007,dekalb regional medical center,702 n main st,,,prattville,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,77%,77 patients,al_scip-vte-1
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,,no,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,88%,76 patients,al_scip-vte-2
