ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,,,,,birmingham,,35233.0,,2053258100.0,,,no,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,
10018,,1720 university blvd,,,birmingham,,35233.0,jefferson,,acute care hospitals,,yes,surgical infection prevention,scip-inf-1,,,,al_scip-inf-1
10019,,1300 south montgomery avenue,,,sheffield,,35660.0,elmore,2563864556.0,acute care hospitals,,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,270 patients,al_ami-3
10007,mizell memorial hospital,702 n main st,,,opp,ak,36467.0,covington,3344933541.0,,,no,,ami-8a,,,,al_ami-8a
10007,mizell memorial hospital,702 n main st,,,opp,al,,covington,,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-1,heart failure patients given discharge instructions,98%,59 patients,al_hf-1
10007,mizell memorial hospital,702 n main st,,,opp,al,,,3344933541.0,acute care hospitals,voluntary non-profit - private,,,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,87%,76 patients,
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,,hf-3,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),64%,14 patients,al_hf-3
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,,voluntary non-profit - private,no,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,8 patients,al_hf-4
10007,mizell memorial hospital,,,,opp,al,36467.0,,3344933541.0,acute care hospitals,,no,,,pneumonia patients assessed and given pneumococcal vaccination,87%,85 patients,al_pn-2
10007,,702 n main st,,,,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,64 patients,
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,,no,,cac-1,pneumonia patients given smoking cessation advice/counseling,,28 patients,al_pn-4
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,crenshaw,,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,,
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,,,acute care hospitals,,,,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,57 patients,al_pn-6
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,,35640.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,hf-2,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,2058383122.0,acute care hospitals,,no,pneumonia,,pneumonia patients assessed and given influenza vaccination,90%,63 patients,al_pn-7
10007,,702 n main st,,,opp,al,,covington,3344933541.0,acute care hospitals,,no,surgical infection prevention,,children who received reliever medication while hospitalized for asthma,91%,295 patients,al_scip-card-2
10007,,702 n main st,,,opp,al,36049.0,,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,hf-3,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,101 patients,al_scip-inf-1
10007,,702 n main st,,,opp,,36467.0,,3347561400.0,acute care hospitals,,no,surgical infection prevention,,surgery patients who were given the  right kind  of antibiotic to help prevent infection,91%,101 patients,al_scip-inf-2
10007,,702 n main st,,,opp,,,,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),93%,100 patients,
10007,marshall medical center south,702 n main st,,,opelika,al,36467.0,covington,,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-vte-2,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,,voluntary non-profit - private,,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),64%,,
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,,voluntary non-profit - private,,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,87%,77 patients,al_scip-vte-1
