ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,al_scip-card-2
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,,yes,surgical infection prevention,cac-2,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,al_scip-inf-1
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
10007,,,,,gadsden,al,36467.0,covington,,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,,no,heart failure,hf-1,heart failure patients given discharge instructions,98%,59 patients,al_hf-1
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,,76 patients,al_hf-2
10007,mizell memorial hospital,702 n main st,,,opp,,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),64%,14 patients,al_hf-3
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3342836541.0,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,8 patients,al_hf-4
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,85 patients,al_pn-2
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,64 patients,al_pn-3b
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,71%,29 patients,al_pn-4
10007,mizell memorial hospital,702 n main st,,,opp,al,,morgan,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,87 patients,al_pn-5c
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,57 patients,al_pn-6
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-7,,,63 patients,al_pn-7
10007,,1912 alabama highway 157,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,91%,11 patients,al_scip-card-2
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,,3344933541.0,acute care hospitals,voluntary non-profit - private,no,children s asthma care,scip-inf-1,heart attack patients given aspirin at discharge,88%,101 patients,al_scip-inf-1
10007,mizell memorial hospital,,,,opp,al,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-2,heart attack patients given pci within 90 minutes of arrival,91%,101 patients,al_scip-inf-2
10007,riverview regional medical center,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,,no,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),93%,100 patients,al_scip-inf-3
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,,,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,
10007,mizell memorial hospital,702 n main st,,,opp,al,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,123 patients,al_scip-inf-6
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,87%,77 patients,al_scip-vte-1
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,,no,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,88%,76 patients,al_scip-vte-2
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,,yes,,ami-1,heart attack patients given aspirin at arrival,0%,1 patients,al_ami-1
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,100%,1 patients,al_ami-2
10008,riverview regional medical center,101 hospital circle,,,luverne,ak,35150.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,heart attack,ami-3,,,0 patients,al_ami-3
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,,0 patients,ak_scip-vte-1
10008,crenshaw community hospital,101 hospital circle,,,luverne,,36049.0,crenshaw,,acute care hospitals,government - federal,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,,1 patients,al_ami-5
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,,government - federal,yes,heart attack,ami-7a,,,0 patients,al_ami-7a
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,,,ami-8a,heart attack patients given pci within 90 minutes of arrival,,357 patients,al_ami-8a
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,,hf-1,heart failure patients given discharge instructions,4%,26 patients,al_hf-1
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,heart failure,hf-2,,72%,39 patients,
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,,3343353374.0,acute care hospitals,government - federal,,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,,al_hf-3
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,,,government - federal,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0%,5 patients,al_hf-4
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660.0,jefferson,3344933541.0,acute care hospitals,government - hospital district or authority,yes,heart attack,,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,0 patients,al_ami-7a
10008,,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,25%,16 patients,al_pn-2
10008,crenshaw community hospital,,,,luverne,,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,15 patients,al_pn-3b
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,33%,9 patients,
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,,3343353374.0,acute care hospitals,government - federal,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,21 patients,al_pn-5c
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),,,al_hf-4
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3342836541.0,acute care hospitals,government - federal,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,33%,15 patients,al_pn-7
