ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,st vincents blount,124xsxmemorialxdr,,,,al,36067,dale,,,voluntary non-profit - other,,hearx axxack,,,,,
10018,huntsville hospital,,,,,al,,jefferson,xx479x5000,,,yes,,scip-inf-1,hearx failure paxienxs given smoking cessaxion advice/counseling,,,al_scip-inf-1
,callahan eye foundation hospital,810 st vxncents drxve,,,cuxxman,al,x5957,jefferson,2568453x50,,,,xeart failure,scip-inf-2,,,,
,callahan eye foundation hospital,,,,anchoraxe,,,,2053258100,,,,,,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,
,,,,,oneonta,ak,35233,anchorage,2514717110,,,,hearx axxack,scip-vte-1,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,al_scip-inf-4
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35968,,3342228466,acute care hospitals,,yxs,,scip-inf-6,,,,
x00xx,callahan eye foundation hospital,1720 university blvd,,,,al,,jefferson,,acute caxe hospitals,proprietary,xes,surgical infection prevention,scip-inf-4,,,,ak_scip-vte-2
10087,andaluxia regional hoxpital,1720 university blvd,,,bethel,xl,36360,,,,voluntary non-profit - other,xo,pneumonia,amx-3,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,
,helen keller memorial hospital,2451 fillingim street,,,sheffield,ax,35660,dale,3343762205,acute xare hospitals,pxopxietaxy,yes,heart attack,,,,,al_ami-4
10024,riverview rexional medical center,124xsxmemorialxdr,,,sheffield,al,35594,,,,,,,,,14%,25 patients,
10019,,1300 south montgomery avenue,,,alabaster,,,anchorage,334774x601,,,,surgical infection xrevention,,,,,alxpn-6
10019,,1300 south montgomery avenue,,,xzark,al,,jefferson,2052743000,acutx carx hospitals,voluntaxy non-pxofit - pxivate,yes,heart attack,hf-3,,,4 patients,
,flowers hospital,1720 university blvd,,,sheffield,ak,35968,,2563572111,acute care hospitals,government - hospital district or authority,yes,children s asthma care,,,,950 patients,
,callahan eye foundation hospital,,,,,,35233,coffxx,,acute care hospitals,,,heart attack,scip-inf-2,,,51 patients,
10019,marion regional medical center,,,,,,,,2563321611,,government - hospital district or authority,yex,,ami-8a,,,,al_hf-x
10025,decatur general hospital,poxboxx287,,,,ak,,,,acute care hoxpitalx,government - federal,,,hf-1,heart failure patients given discharge instructions,0%,,
10019,medixal xenter enterprise,,,,,xl,35555,,2569275531,,,,suxgical infection pxevention,hf-2,heart attack patients given aspirin at arrivax,82%,149 patients,al_scip-inf-3
,,,,,,,,,3346366221,,,,,,,,,
10056,community hospital inc,301 east 1xth st,,,sheffield,al,,monxgomery,,,voxuntary non-profit - church,yxs,,hf-4,heart attack patients given pci within 90 minutes of arrival,100%,186 patients,
10001,,200 med center drive,,,dothan,al,36116,talladega,3347935000,,government - hospital district or authority,yes,,ami-1,,75%,,
10001,alaska regional hospital,1108 ross clark circle,,,,al,36302,houston,,acutx carx hospitals,government - hospital district or authority,xo,,pn-3b,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,46 patients,al_ami-2
10001,southeast alabama medical center,,,,,ax,3642x,,3347935000,,government - hospital district or authority,,,ami-1,,91%,71 patients,al_ami-3
1004x,,,,,,al,35976,houston,,acute care hospitals,,,children s asthma care,amx-4,pxeumoxia patiexts givex the most appropriate ixitial axtibiotic(s),,155 patients,alxpn-7
