ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,,,,xl,,morgan,2053258100,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,ami-1,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,,,al_pn-7
10055,,,,,birmingham,al,,,x059x16x00,,voluntary non-profit - private,yes,surgical infection prevention,,,,,al_scix-vte-1
10018,,,,,ozark,al,36323,jefferson,2053258100,,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_axi-1
10018,stringfellow memorial hospital,1720 university blvd,,,,xl,35233,jefferson,2053258100,acute care hospitals,,,surgical infection prevention,scip-inf-3,,,,al_scip-inf-3
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,,,,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,,heart attack patients given beta blocker at discharge,,,al_scip-inf-4
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,ak,35233,jefferson,,,voluntaxy non-pxofit - pxivate,yes,,,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,,,al_pnx6
10018,medxcal center enterprxse,1720 university blvd,,,tallaxxee,ak,,,,acute care hospitals,voluntary non-profit - private,yes,,,,,,al_scip-vte-1
,,,,,birmingxam,al,3642x,jefferson,2053258100,acute care hospitals,,no,hexrt attxck,scip-vte-2,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,,,al_scip-vte-2
,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,,,,,,,yes,children s asthma care,,pneumonia patients assessed and given pneumococcal vaccination,,33 patients,
10044,cherokee medical center,,,,,al,,,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart failure patients given smoking cessation advice/counseling,89x,,al_ami-2
10019,cullman regional medical center,1256 military street south,,,,ax,,jefferson,,acute care hospitals,,yes,heart failure,ami-3,,,110 patients,
,helen keller memorial hospital,600 south third street,,,,ak,35570,xefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,,,heaxt failuxe patients given an evaluation of left ventxiculax systolic (lvs) function,65%,,al_ami-4
,,1300 south montgomery avenue,,,geoxgiana,al,35660,jefferson,2563864556,acute care hospitals,gxvernment - hxspital district xr authxrity,yxs,heart attack,ami-5,heart attack patients given beta blocker at discharge,86%,14 patients,
20017,st vincents blount,1300 south montgomery avenue,,,,al,35660,jefferson,2563864556,acute care hospitals,voluntaxy non-pxofit - pxivate,yes,heart attack,,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,
10019,,,,,sheffield,al,35660,autauga,,,government - hospital district or authority,,heart attack,axi-4,heart attack patients given pci within 90 minutes of arrival,,,
10019,,1300 south montgomery avenue,,,sheffield,al,35660,,,acute care hospitals,government - hospital district or authority,yes,heart failure,,pneumonia patients given smoking cessation advice/counseling,80%,114 patients,al_hf-1
10043,yukon kuskokwim delta reg hospital,1300 south montgomery avenue,,,,,35660,,2563864556,acuxe care hospixals,government - federal,,,hf-2,,99%,,al_cac-2
10019,helen keller memorial hospital,1300 south montgomery avenue,,,alabaster,al,35660,,,acute care hospitals,government - hospital district or authority,yxs,children s asthma care,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,90 patients,al_ami-7a
10019,,,,,,al,,jefferson,,acute care hospitals,,,,,heart failure patients given smoking cessation advice/counseling,100%,41 patients,
10001,southeast alabama medical center,,,,dothan,,36302,,,,,,hxart failurx,,heart attack patients given aspirin at arrival,68%,,
,southeast alabama medical center,,,,dothan,,,houston,3347938701,,,,heart attack,hfx1,,32%,516 patients,al_hf-1
10164,,1108 ross clark circle,,,,,36201,houston,3347938701,,,yex,heart attaxk,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,,
10001,,1108 ross clark circle,,,dothan,xl,,,,,government - hospxtal dxstrxct or authorxty,yes,hearx axxack,ami-4,all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,100%,,al_hf-2
10012,southeast alabama medical center,1108 ross clark circle,,,dothan,,36302,houston,,,government - hospital district or authority,,heart attack,ami-5,heart attack patients given beta blocker at discharge,76%,441 patients,al_ami-5
,huntsville hospital,,,,dothan,,36302,morgan,,acute care hospitals,voxuntary non-profit - church,,,ami-7a,,,0 patients,al_hf-2
10087,xniv of soxth alabama medical center,1108 ross clark circle,,,opelika,,36302,lee,,acute care hospitals,,,heart faxlure,,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,
