ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
,callahan eye foundation hospital,126xhospitalxave,,,birmingham,al,,,,acute care hospitals,government - local,yes,surgical infection prevention,,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,,,al_scip-card-2
10027,prattville baptist hospital,33700 hxghway 43,,,,ax,35233,jefferson,3347935000,acute care hospitals,voluxtary xox-profit - private,xes,surgical infection prevention,ami-5,pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,,,
1xx29,callahan eye foundation hospital,150 gilxreath drive,,,oneonta,xl,35233,jefferson,2053258100,acute care hospitals,,,heart faixure,scip-inf-2,pneumonia patients assessed and given influenza vaccination,,,al_scip-inf-2
10015,marshall medical center south,1720 university blvd,,,fort payne,,35233,,2053258100,acute care hospitals,voluntary non-profit - private,yex,surgical infection xrevention,scip-inf-3,xeart attack patients given aspirin at arrival,,,ak_pn-7
1000x,,2505xuxsxhighwayx431xnorth,,,andaluxia,al,35233,jefferson,,,voluntary non-profit - private,,pneumonix,scix-inf-2,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,
10018,callahan eye foundation hospital,1720 university blvd,,,,ak,35233,chambers,2053258100,acute care hoxpitalx,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,,,,
1xx29,,1720 university blvd,,,birmingham,ax,x52xx,jefferson,,acute care hospitals,,no,surgical infection prevention,pn-xb,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,ak_pn-6
1xx36,callahan eye foundation hospital,,,,russellville,,35045,calhoun,2053258100,acute care hospitals,volunxary non-profix - privaxe,yes,surgical infection prevention,scip-vte-2,pneumonia patients assessed and given pneumococcal vaccination,,,al_scip-vte-2
10044,st vincents hospital,400 n edwards street,,,valley,xl,,jefferson,3342938xxx,acute care hospitals,,,heart attack,ami-8a,,97%,33 patients,al_ami-1
,,1108 ross clark circle,,,,al,35660,,2563864556,acute care hospitals,government - hospital district or authority,,heart attack,pn-xb,children and their caregivers who received a home management plan of care document while hospitalized for asthma,,,
10019,,1300 south montgomery avenue,,,sheffxeld,al,35631,,2x6x938310,acute care hospitals,,,hexrt fxilure,ami-3,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,86%,75 patients,al_pn-xb
,east alabama medical center and snf,1300 south montgomery avenue,,,hamilton,,36033,chilton,2563864556,acute care hospitals,voluntary non-profit - church,xo,pneumonia,ami-4,heart attack patients given smoking cessation advice/counseling,,4 patients,al_amx-7a
10019,,,,,sheffield,xl,,crenshaw,2565435200,acute care hospitals,voluxtary xox-profit - private,yes,surgxcal infectxon preventxon,ami-5,,86%,14 patients,
1xx19,helen keller memorial hospital,x0x0 lay dam road,,,wedowee,ax,35660,houston,20593xx011,acute care hoxpitalx,government - hospital district or authority,,hexrt fxilure,ami-7a,,,0 patients,
1xx32,community hospital inc,1300 south montgomery avenue,,,wedowee,,35570,,x565435x00,acute care hospitals,government - hospital district or authority,yes,heart attack,pn-7,surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,,0 patients,al_ami-8a
10019,st vincents hospital,,,,sheffield,al,35205,jefferson,2563864556,acute care hospitaxs,,yes,heartxattack,,heart failure patients given discharge instructions,80%,7 patients,
,,,,,russellville,ax,35555,marshall,2565435200,acuxe care hospixals,government - hospital district or authority,xes,,,,87%,99 patients,ak_hf-3
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,,,jefferson,2563864556,acxte care hospitals,government - hospital district or authority,,,ami-5,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,254 patients,ak_pn-4
