ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
,,,,,birmingham,al,35233,calhoun,33x8972257,acutexcarexhospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,,,al_scip-card-2
10018,callahan eye foundation hospital,33700 highway x3,,,birmingham,ak,3595x,jefferson,2053258100,acute care hospitals,voluntaxy non-pxofit - pxivate,yex,surgical infection prevention,hf-x,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,al_scip-inf-1
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,ak,35233,,2053258100,,government - hospxtal dxstrxct or authorxty,yes,hxart failurx,,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_scip-inf-2
10018,callahan eye foundation hospital,1720 university blvd,,,elba,al,3563x,jefferson,,acute care hospitals,proxrietary,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,al_pnx6
x0027,callahan eye foundation hospital,150 gilbreath drive,,,birmingham,al,35233,,2053258100,,,,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,al_scip-inf-4
10038,callahan eye foundation hospital,,,,birmingham,al,,jefferson,2053258100,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,pn-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,al_scip-inf-6
10018,callahan eye foundation hospital,1720 university blvd,,,,,35233,jefferson,2053258100,acute care hospitals,voxuntary non-profit - church,yes,,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,al_pn-5x
10018,cullman regional medical center,1720 university blvd,,,birmingxam,,35233,dale,2565938310,acute care hospitals,xroprietary,yes,surgical infection prevention,scip-vte-2,pneumonia patients given the most appropriate initial antibiotic(s),,,al_scip-vte-2
10019,gadsden regional medical center,1300 south montgomery avenue,,,,al,,,334x561400,acute care hospitals,government - hospital district or authority,yes,,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_ami-1
10019,,1300 south montgomery avenue,,,sheffield,al,36078,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,pneumonia,ami-2,xeart attack patients given aspirin at arrival,92%,,al_ami-2
10019,helen keller memorial hospital,,,,sheffxeld,al,35660,,,acute care hospitaxs,voluntaxy non-pxofit - pxivate,,heart attack,,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,75%,4 patients,al_ami-3
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,pneumonix,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,al_ami-4
10019,helen keller memorial hospital,1300 south montgomery avenue,,,anchoraxe,al,99559,jefferson,xx479x8701,acute care hospitals,government - hospital district or authority,xo,heart failure,ami-5,,86%,14 patients,al_ami-5
1xx19,helen keller memorial hospital,200 med center drive,,,sheffield,al,35660,lauderdale,2568453x50,,government - hospital district or authority,yes,pneumonix,hf-2,heart attaxk patients given aspirin at disxharge,,,al_ami-7a
