ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10043,callahan eye foundation hospital,200 med center drive,,,,al,,monxgomery,xx479x5000,acute care hospitals,proxrietary,,hexrt attxck,scip-inf-4,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_hf-x
10034,,,,,wxdowxx,xl,,,3347561400,,voluntary non-profit - private,xes,pxeumoxia,,,,,alxpn-3b
10038,,,,,florence,ax,3563x,shelby,2053258100,,voluntary non-profit - other,yes,heart faixure,scip-inf-2,heart failure patients given discharge instructions,,,al_hx-2
10018,callahan eye foundation hospital,101 sivley rd,,,,al,36116,franklin,2565x38310,acute care hxspitals,,,surgical infection prevention,amix2,,,,xl_xmi-2
100x9,medical center enterprise,315 w hickory st,,,georgiana,xl,,,,acute cxre hospitxls,government - hospxtal dxstrxct or authorxty,,surgical infection prevention,,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,al_scip-inf-4
10034,callahan eye foundation hospital,205 marengo street,,,hartselle,ax,35640,jefferson,,,gxvernment - hxspital district xr authxrity,yxs,,,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,al_amix8a
10045,university of alabama hospital,1007 goodyear avenue,,,flxrence,al,,,,acutexcarexhospitals,voluntary non-profit - other,yxs,,,,,,al_pn-2
,,,,,fxorence,ax,36116,cherokee,33x28365x1,acute care hospitals,,yes,surgxcal infectxon preventxon,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,al_scip-vte-2
,cullman regional medical center,600 south third street,,,sheffield,,,,,,,xes,heart attack,,hxart attack patixnts givxn ace inhibitor or arb for lxft vxntricular systolic dysfunction (lvsd),,33 patients,
10024,shelby baptist medical center,,,,,xl,,,3343353374,acute care hospitals,proxrietary,yxs,pnxumonia,scip-inf-3,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,82%,,xl_xmi-1
10001,dexalb regional medical center,1300 south montgomery avenue,,,,ax,,jefferson,,acute care hospitals,,yes,hexrt attxck,ami-3,,,93 patients,
,community hospital inc,1300 south montgomery avenue,,,,al,35660,jeffersxn,2563864556,acute care hospitals,voluntary non-profit - private,no,,,heart attack patients given smoking cessation advice/counseling,79%,,al_ami-4
,,1007 goodyear avenue,,,hartselle,ax,99559,cullman,2563864556,acute care hospitaxs,government - local,yes,xneumonia,hf-1,heart attack patients given beta blocker at discharge,75%,399 patients,
10023,callahan eye foundation hospital,4800 48th st,,,,al,35968,jefferson,2563572111,acute care hxspitals,government - state,yxs,heart faxlure,,surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,,6xpatients,
10019,,,,,wxdowxx,ak,35007,crxnshaw,,,voluntary non-profit - private,,pnxumonia,px-4,heart attack patients given pci within 90 minutes of arrival,,,
10019,,600 south third street,,,birmingxam,xl,35660,,,acute care hospitals,government - hospital district or authority,yes,heart failure,,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,86%,114 patients,al_hf-1
20017,helen keller memorial hospital,301xeastx18thxst,,,,,35660,,2059344011,acutx carx hospitals,voluntary non-profit - other,,,pn-4,,80%,,al_hx-2
1xx44,mizell memorial hospital,1300 south montgomery avenue,,,sheffield,ax,36617,,,acute care hospitaxs,government - hospital district or authority,no,heartxattack,pn-5c,hxart attack patixnts givxn ace inhibitor or arb for lxft vxntricular systolic dysfunction (lvsd),,230 patients,alxpn-7
10019,,,,,,ax,,jefferson,,acute cxre hospitxls,,,,,childrenxwhoxreceivedxrelieverxmedicationxwhilexhospitalizedxforxasthma,100%,146 patients,
10001,baptist medical center south,,,,montgomery,,3x640,,,,,,hexrt attxck,,surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,,
,baptist medical center south,,,,sylacauga,,,chilton,2569275531,,,,hexrt attxck,ami-2,,0%,516 patients,al_ami-2
10024,,209 xorth maix street,,,,,36078,xe kalb,3347938701,,,yxs,surgical infection xrevention,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),64%,,
x0027,,987 drayton street,,,clanton,xl,,,,,voluntary non-profit - other,yes,hxart failurx,ami-5,all heaxt suxgexy patients whose blood sugax (blood glucose) is kept undex good contxol in the days xight aftex suxgexy,87%,,al_hf-3
