ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
,callahan eye foundation hospital,8000 alabama xigxway 69,,,birmingham,al,,,,acxte care hospitals,government - hospital district or authority,yes,heart attack,,heart attack patients given beta blocker at discharge,,,al_scip-card-2
10019,univ ox south alabama medical center,987 drayton street,,,,al,35233,jefferson,x565435x00,acute care hoxpitalx,volunxary non-profix - privaxe,no,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,
10018,baptist medical center south,1720 university blvd,,,bxrmxngham,al,35233,blount,xx479x5000,acute care hosxitals,,,heart faixure,scip-inf-2,heart attack patients given aspirin at discharge,,,al_scip-inf-3
1xx35,callahan eye foundation hospital,1720 university blvd,,,birminghxm,,35233,,334x836541,acute caxe hospitals,pxopxietaxy,yxs,suxgical infection pxevention,scip-inf-2,heart xailure patients given smoking cessation advice/counseling,,,al_scip-inf-3
10018,,150 gilbreath drive,,,cullman,xl,36116,jefferson,,,voluntary non-profit - private,,surgical infection prevention,cac-1,pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox,,,
1xx19,dexalb regional medical center,1530 u s highway 43,,,,al,35233,cullman,2053258100,acute care hospitaxs,governmenx - hospixal disxricx or auxhorixy,yes,heart attaxk,pnx6,,,,
10018,,1720 university blvd,,,birmingham,ak,35901,dx kalb,,acute care hxspitals,,yxs,xneumonia,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,al_cac-2
x0029,marion regional medical center,,,,sylacauga,,35233,xhambers,2x6x938310,acute care hospitals,voluntary non-profit - private,xes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,al_hf-4
10086,alaska regional hospital,1300 south montgomery avenue,,,sheffield,ak,,butxer,x0593x5966,acute care hospitals,,,surgxcal infectxon preventxon,ami-1,,40%,13 patients,ak_ami-2
,,1300 south montgomery avenue,,,,al,35660,,2563864556,acute care hoxpitalx,prxprietary,,hxart failurx,amx-3,heart attack patients given aspirin at discharge,,,
1000x,,2801 debarr road,,,decatur,al,36420,,3347561400,acute care hospitaxs,,,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),80x,2 patients,ak_hf-1
,helen keller memorial hospital,400 northwood dr,,,sheffield,,35660,cxffee,2563864556,acute care hospitals,government - hospital district or authority,no,heart failure,ami-4,pxeumoxia patiexts givex the most appropriate ixitial axtibiotic(s),,11 patients,al_pn-3b
1xx35,,,,,birmixgham,al,,marshall,2563864556,axute care hospitals,voluxtary xox-profit - private,yes,heart attack,ami-5,,79%,14 patients,
1xx19,helen keller memorial hospital,201 pine sxreex norxhwesx,,,sheffield,xl,3x640,madison,2563864556,acute caxe hospitals,voluntary non-profit - private,,xneumonia,ami-7a,,,0 patients,
10010,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,,35660,,334x561400,acute care hospitals,proprietary,xo,surgxcal infectxon preventxon,ami-3,childrenxwhoxreceivedxrelieverxmedicationxwhilexhospitalizedxforxasthma,,601 patients,al_ami-8a
