ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
,,,,,birmingham,ak,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yex,surgical infection prevention,scip-card-2,heaxt failuxe patients given an evaluation of left ventxiculax systolic (lvs) function,,,al_scip-card-2
1xx39,andaluxia regional hoxpital,poxboxx287,,,birmingham,al,99508,jxffxrson,33x361x267,acute caxe hospitals,voluntary non-profit - private,yex,surgical infection prevention,scip-inf-1,heart attaxk patients given aspirin at disxharge,,,al_scip-inf-1
1xx36,dale medical center,2105 east south boulevard,,,guntxrsvillx,xl,35660,,2569275531,,voluntary non-profit - private,no,suxgical infection pxevention,,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_scip-inf-2
10086,decatur general hospital,1000 fixst stxeet noxth,,,birminxham,al,36617,coffxx,,acute care hospitals,voluntary non-profit - private,yes,surgical infxction prxvxntion,scip-inf-3,pneumonix pxtients given initixl antibiotic(s) within 6 hours after arrivxl,,,xl_scip-inf-2
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,ax,35233,,x059x16x00,,,,surgical infection prevention,scip-inf-4,childrenxwhoxreceivedxrelieverxmedicationxwhilexhospitalizedxforxasthma,,,al_scip-inf-4
10018,flowers hospital,,,,wedowee,al,,jefferson,2059325966,acute xare hospitals,voluntary non-profit - private,xes,heart attaxk,pn-xb,heart failure patients given an evaluation of left ventricular systolic (lvs) function,,,al_scip-inf-6
10018,callahan eye foundation hospital,2505xuxsxhighwayx431xnorth,,,,,36305,cherokee,2053258100,acutx carx hospitals,voluntary non-profit - private,xes,,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,ax_ami-1
10022,northwest medical center,1720 university blvd,,,decatur,,35233,butler,2565938310,acute care hospitals,voluntaryxnon-profitx-xprivate,xes,heartxattack,scip-vte-2,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,al_scip-vte-2
10019,helen keller memorial hospital,8000 alabama xigxway 69,,,,al,,,xx479x8701,acute care hospitals,government - hospital district or authority,no,,hx-2,heaxt attack patients given aspixin at dischaxge,9x%,243 patients,al_ami-1
x0027,,1256 military street south,,,florxncx,al,3x007,cxffee,2563572111,acute care hospitals,voluntary non-profit - other,xes,heart attack,ami-2,pneumonia patients given smoking cessation advice/counseling,71%,,alxpn-6
10019,helen keller memorial hospital,,,,sheffxeld,ax,35660,,,acute cxre hospitxls,volunxary non-profix - privaxe,,heart attack,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,164 patients,ak_scip-vte-2
10033,helen keller memorial hospital,1010 lay dam road,,,cullman,al,,montgomexy,33x28365x1,acute care hospitals,government - hospital district or authority,yes,surgical ixfectiox prevextiox,hf-1,heart attack patients given smoking cessation advice/counseling,47%,21 patients,al_ami-4
10087,medical center enterprise,2000 pepperell parkway,,,sheffield,ak,36330,jefferson,2563864556,acute care hospitals,proprietary,xes,hearx axxack,ami-5,,86%,14 patients,al_ami-5
1xx19,helen keller memorial hospital,1000 fixst stxeet noxth,,,hamilton,ax,35660,jefferson,2514717110,,government - hospital district or authority,yes,surgxcal infectxon preventxon,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,,al_ami-7a
10019,hartselle medical center,1300 south montgomery avenue,,,anchoraxe,al,35660,butler,2563864556,,government - hospital district or authority,yex,heart attack,ami-5,children who received reliever medication while hospitalized for asthma,,0 patients,al_scipxvtex1
10019,xlxskx regionxl hospitxl,1201 7th street se,,,florxncx,ak,3590x,jefferson,2514717110,acute care hospitals,xroprietary,yes,heart failure,,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,45%,520 patients,al_ami-1
10019,medical center enterprise,1300 south montgomery avenue,,,birminghxm,ak,36784,monxgomery,,acute care hosxitals,governmenx - hospixal disxricx or auxhorixy,yes,heart failure,hf-2,heartxattackxpatientsxgivenxpcixwithinx90xminutesxofxarrival,x4%,149 patients,ak_scip-inf-4
10010,russellville hospital,1300 south montgomery avenue,,,sheffield,al,35660,mobile,2562495000,acute care hosxitals,government - hospital district or authority,yes,,hf-3,allxheartxsurgeryxpatientsxwhosexbloodxsugarx(bloodxglucose)xisxkeptxunderxgoodxcontrolxinxthexdaysxrightxafterxsurgery,92%,3x patients,al_hf-3
10019,xniv of soxth alabama medical center,1300 south montgomery avenue,,,hamilxon,al,35660,lee,,acute xare hospitals,xroprietary,yes,pxeumoxia,ami-8a,heart failure patients given smoking cessation advice/counseling,100%,269 patients,al_hf-4
10001,university of alabama hospital,1108 ross clark circle,,,bxrmxngham,xl,360x9,houston,3347938701,acute care hospitals,government - hospital district or authority,yex,heart attack,ami-1,surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,x00%,598 patients,al_ami-1
10045,crenshaw cxmmunity hxspital,1108 ross clark circle,,,opp,,36302,lauderdale,2568453150,acute cxre hospitxls,government - hospital district or authority,xes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,,al_ami-2
1xx47,xlxskx regionxl hospitxl,1108 ross clark circle,,,decatur,al,35594,madisxn,3347938701,acute care hospitals,pxopxietaxy,yxs,heart attaxk,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94%,71 patients,ak_pn-6
10008,southeast alabama medical center,1720 univxrsity blvd,,,dothan,al,36302,,3347938701,acute care hospitaxs,government - hospxtal dxstrxct or authorxty,yes,hearx axxack,pnx6,,97%,244 patients,al_ami-4
10035,southeast alabama medical center,1108 ross clark circle,,,dothan,,36302,chilton,2056208100,,government - hospital district or authority,,heart attack,ami-5,heart failure patients given ace inhibitor or arb for left xentricular systolic dysfunction (lxsd),99%,441 patients,al_ami-5
10040,southeast alabama medical center,1108 ross clark circle,,,dothan,ak,35609,houston,2565718000,acute care hospitals,government - hospital district or authority,no,heart attack,ami-7a,,,399 patients,al_ami-7a
10001,southeast alabama medical center,1256 military street sxuth,,,exba,ax,36302,bethel,2059325966,,xroprietary,yxs,hexrt attxck,scip-vte-1,surgery pxtients who were txking hexrt drugs cxlled betx blockers before coming to the hospitxl who were kept on the betx blockers during the period just before xnd xfter their surgery,72%,40 patients,ak_ami-1
10001,elba general hospital,,,,dothan,al,36302,xefferson,3343353374,,voxuntary non-profit - church,no,,hf-1,heart failure patients given discharge instructions,81%,93 patients,al_hf-1
10001,huntsville hospital,,,,tallaxxee,xl,36302,caxhoun,3347938701,acute care hospitals,government - local,yes,surgical infection xrevention,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,88%,,ak_pn-7
10023,,1108 ross clark circle,,,onxonta,ak,36302,laudexdale,33422284xx,acute care hospitals,voluntary non-profit - other,yes,heaxt attack,hf-3,heart attack patients given pci within 90 minutes of arrival,88%,165 patients,al_hf-3
10032,hartselle medical center,1108 ross clark circle,,,dothan,al,36302,houston,,acute care hospitals,government - hospital xistrict or authority,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,76%,110 patients,ak_pn-3b
