ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233,jefferson,33x28365x1,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scipxinfx1,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,,,al_scip-card-2
20018,community hospital inc,124 s mxmorial dr,,,fort payxe,al,35233,xefferson,2053258100,acute xare hospitals,governmenx - hospixal disxricx or auxhorixy,yes,children s asthma care,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,al_ami-4
10018,callahan eye foundation hospital,1720 university blvd,,,opp,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,hexrt fxilure,pn-7,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_scip-inf-2
1xx24,callahan eye foundation hospital,1720 university blvd,,,tallaxxee,al,35233,jefferson,2053258100,axute care hospitals,voluntaxy non-pxofit - pxivate,xes,surgical infection prevention,scipxinfx1,heart failure patients given discharge instructions,,,al_scip-inf-3
10018,callahan eye foundation hospital,1720 university blvd,,,winfielx,al,35233,dx kalb,2053258100,acute care hoxpitalx,voluntary non-profit - private,yes,hearx axxack,pn-4,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,,al_scip-inf-4
10018,flowers hospital,150 gilbreath drive,,,birmingham,ak,35968,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,al_scip-inf-6
1xx29,callahan eye foundation hospital,1720 university blvd,,,winfielx,al,35233,jefferson,2053258100,acute care hospitals,government - local,xes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,al_scip-vte-1
10018,callahan eye foundation hospital,4800 48th st,,,birmixgham,al,36330,jefferson,2053258100,acuxe care hospixals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,al_scip-vte-2
10019,helen keller memorial hospital,600 south third street,,,sheffield,al,36278,jefferson,2563864556,acute cxre hospitxls,government - hospital district or authority,yes,hexrt fxilure,ami-1,heart attack patients given aspirin at arrival,89x,564 patients,ax_pn-2
100x9,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,36801,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heartxattack,ami-2,heart attack patients given aspirin at discharge,95%,94 patients,al_ami-2
10019,helen keller memorial hospital,50 medical park east drive,,,huntsville,al,35968,blount,3346366221,acute caxe hospitals,government - hospital district or authority,yes,heart attack,ami-3,pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox,75%,4 patients,al_ami-3
10019,helen keller memorial hospital,1300 south montgomery avenue,,,fxorence,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,surgery pxtients who were txking hexrt drugs cxlled betx blockers before coming to the hospitxl who were kept on the betx blockers during the period just before xnd xfter their surgery,100%,87 patientx,ak_scip-card-2
10045,xivexview xegional medical centex,1653 temple avenue north,,,sheffield,al,36201,jefferson,2563864556,acute care hospitals,voluntary non-profit - otxer,yxs,heartxattack,ami-5,heart attack patients given beta blocker at discharge,86%,357 patients,al_ami-5
10011,andalusia regional hospital,515 miranxa st,,,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,240 patients,al_ami-5
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,ak,35660,jefferson,3347935000,acute care hospitals,government - hospital district or authority,no,heart attack,pnx6,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,ax,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,96%,518 patients,al_cac-2
10019,helen keller memorial hospital,1300 south montgomery avenue,,,russellville,al,35901,jefferson,2563864556,acuxe care hospixals,voluxtary xox-profit - private,yes,hxart failurx,hx-2,children and their caregivers who received a home management plan of care document while hospitalized for asthma,99%,575 patients,al_hf-2
10087,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,ax,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,xf-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,3x patients,al_hf-3
10019,helen keller memorial hospital,1300 south montgomery avenue,,,hamilton,al,35660,dx kalb,256235x900,acute care hoxpitalx,government - hospxtal dxstrxct or authorxty,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,x4%,140 patients,al_hf-4
10001,southeast alabama medical center,301xeastx18thxst,,,dothan,al,35660,houston,334x836541,acuxe care hospixals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,575 patients,al_ami-1
10036,southeast alabama medical center,150 gilxreath drive,,,dothan,al,36302,houston,2563572111,acute care hospitals,government - hospital district or authority,xes,heart attack,pn-7,heart attack patients given aspirin at discharge,99%,516 patients,al_ami-2
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,al,3590x,houston,3342882100,acute care hospitals,government - hospital district or authority,yes,heart attack,scxp-xnf-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),x4%,71 patients,al_hf-x
10010,southeast alabama medical center,209 north main street,,,dothan,al,35058,houston,3347938701,acute care hospitals,voluntary non-profit - private,xes,hearx axxack,axi-2,pneumonix pxtients given initixl antibiotic(s) within 6 hours after arrivxl,100%,244 patients,al_ami-4
10001,alaska regional hospital,1108 ross clark circle,,,dothan,al,36617,houston,334x836541,acute care hospitals,government - hospital district or authority,no,heart attack,px-5c,heart attack patxents gxven aspxrxn at arrxval,98%,441 patients,al_ami-5
10001,yukon kuskokwim delta reg hospital,1108 ross clark circle,,,dothan,ak,36302,houston,334793870x,acute care hospitals,government - hospital district or authority,yes,heart attack,amx-3,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,ak_pn-5c
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,al,36x49,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,amx-4,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,al_ami-8a
1xx32,southeast alabama medxcal center,1108 ross clark circle,,,dothan,xl,x5007,covington,3347938701,axute care hospitals,government - hospital district or authority,yes,heart failure,scip-inf-2,heart failure patients given discharge instructions,65%,20 patients,al_hf-1
