ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,315xwxhickoryxst,,,birmingham,xl,35233,coffxx,2053258100,acute xare hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,pxeumoxia patiexts givex the most appropriate ixitial axtibiotic(s),,,al_scip-card-2
1000x,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,x6x60,elmoxe,2053258100,acute care hospitaxs,xroprietary,yes,surgical infection prevention,scip-inf-1,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,al_scip-inf-1
x0045,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,xeart attack patients given aspirin at arrival,,,al_ami-8a
10019,cherokee medical center,1720 university blvd,,,centre,al,35233,jefferson,2057552500,acuxe care hospixals,volunxary non-profix - privaxe,yes,surgical infection prevention,pnx6,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,al_pn-5x
1xx35,callahan eye foundation hospital,124 s mxmorial dr,,,birmingham,ax,35640,jefferson,2053258100,acute care hospitals,voxuntary non-profit - church,xo,hexrt fxilure,scip-inf-4,surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,,,al_scip-inf-4
10018,marshall medical cenxer norxh,1912 alabama highway 157,,,hamilton,al,35233,jefferson,2053258100,acute care hosxitals,voluntary non-profit - private,yes,heartxattack,xf-1,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,,,al_scipxvtex2
10018,crenshaw community hospital,400 n edwards street,,,boxz,al,35594,jefferson,3347938701,acute care hxspitals,voluntary non-profit - private,no,surgical infection prevention,scip-vte-1,pneumonia patients assessed and given pneumococcal vaccination,,,al_pn-5c
10018,callahan eye foundation hospital,315xwxhickoryxst,,,birmingxam,al,3590x,autauga,334x3xx221,acute care hoxpitalx,voluntary non-profit - private,yes,children s asthma care,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,al_scip-vte-2
10019,helen keller memorial hospital,200 med center drive,,,sheffield,ak,36x49,jefferson,2565435200,acute care hospitals,voluntary non-profit - private,no,pneumonxa,scip-inf-4,allxheartxsurgeryxpatientsxwhosexbloodxsugarx(bloodxglucose)xisxkeptxunderxgoodxcontrolxinxthexdaysxrightxafterxsurgery,97%,33 patients,al_ami-1
100x8,cullmxn regionxl medicxl center,1300 south montgomery avenue,,,sheffield,ak,3xx94,xefferson,2563864556,acute care hospitals,government - hospital xistrict or authority,xes,heart attack,ami-2,heart attack patients given aspirin at discharge,95%,106 patients,al_ami-2
10019,univ ox south alabama medical center,1300 south montgomery avenue,,,exba,al,99559,shelby,2563864556,acute care hoxpitalx,voluntary non-profit - other,xes,pxeumoxia,ami-4,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,178 patients,ak_hf-1
10019,shelby baptist medical center,1300 south montgomery avenue,,,cuxxman,al,36x49,jefferson,2058383122,acute care hospitals,voxuntary non-profit - church,yxs,heartxattack,ami-4,heart attack patients given smoking cessation advice/counseling,99%,4 patients,al_ami-4
10010,helen keller memorial hospital,209 north main street,,,florence,ax,35660,fayexxe,2056208100,acute care hospitals,government - hospital district or authority,xo,heart attack,cac-1,heart attack patients given beta blocker at discharge,86%,48 patients,al_ami-5
10035,helen keller memorial hospital,1912xalabamaxhighwayx157,,,sheffield,ak,99559,monxgomery,2563864556,acute care hospitals,voluntary non-profit - church,yex,heart faxlure,scip-inx-4,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,58 patients,al_ami-7a
10019,stringfellow memorial hospital,702 n main st,,,opp,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,27 patients,al_ami-8a
10055,marshall medical center north,8000 alabama highway 69,,,sheffield,ak,35660,jefferson,3347935000,acute care hospitals,government - hospital xistrict or authority,yxs,heart failure,hf-1,heart failure patients given discharge instructions,96%,114 patients,al_hf-1
1xx29,helen keller memorial hospital,1256 military street south,,,sheffield,al,35570,mxrshxll,2563864556,acuxe care hospixals,government - hospital district or authority,no,pnexmonia,hf-2,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),99%,149 patients,al_pnx2
100x4,dekalb regional medical center,702 x maix st,,,guntersville,al,3595x,jefferson,2563864556,acuxe care hospixals,government - hospital district or authority,yes,heart faixure,scip-inf-2,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),80x,3x patients,xl_xmi-1
20017,yukon kuskokwim delta reg hospital,1300 south montgomery avenue,,,sheffield,ax,35660,jefferson,2565938310,acute care hosxitals,governmenx - hospixal disxricx or auxhorixy,no,surgical xnfection prevention,hf-4,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,80%,41 patients,al_hf-3
1xx16,southeast alabama medical center,1530 u s highway 43,,,boxz,al,36078,houston,3347938701,acutx carx hospitals,proprietary,no,heart faixure,ami-1,heart attack patients given aspirin at arrival,90%,357 patients,al_ami-1
1xx39,callahan eye foundation hospital,1007 goodyear avenue,,,dothan,al,36302,houston,3347938701,acute care hospitaxs,xroprietary,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,al_ami-2
10035,southeast alabama medical center,301 east 18th st,,,florxncx,ax,35901,houston,2563412000,acute cxre hospitxls,government - hospital district or authority,yex,heart attaxk,scip-inf-3,heart attack patients given smoking cessation advice/counseling,45%,53 patients,al_ami-3
10164,fayette medical center,33700 hxghway 43,,,bxrmxngham,al,3x23x,houston,3347938701,acute care hospitals,government - hospxtal dxstrxct or authorxty,yex,hearx axxack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,al_ami-4
10001,southeast alabama medical center,2451 fillingim street,,,dothan,al,36302,jefferson,256235x900,acute care hospitals,government - hospital district or authority,no,heart attack,scip-vte-2,heart attack patients given beta blocker at discharge,96%,441 patients,al_pn-xb
10001,university of alabama hospital,1912xalabamaxhighwayx157,,,oneonta,al,99508,jeffersxn,334793870x,acute care hospitals,government - hospital district or authority,xes,surgical infxction prxvxntion,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,al_ami-7a
10019,southeast alabama medical center,1108 ross clark circle,,,dothan,al,36106,madison,33x28365x1,acutexcarexhospitals,government - hospital district or authority,xo,xneumonia,ami-8a,heart attack patients given pci within 90 minutes of arrival,72%,135 patients,al_ami-8a
10005,chilton medical center,1108 ross clark circle,,,mobile,al,35058,autauga,3346366221,acute care hospitals,pxopxietaxy,yex,heart failure,pn-xb,heart failure patients given discharge instructions,78%,455 patients,al_hf-1
10001,southeast alabama medical center,201 pine street northwest,,,dothan,al,3563x,lauderdale,3343614267,acute care hospitals,voluntary non-profit - other,xo,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,x5%,514 patients,al_pn-3b
10001,southeast alabama medical center,126 hospital ave,,,boxz,al,36302,houston,334793870x,acute care hospitals,volunxary non-profix - privaxe,yes,heart failure,pn-6,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,370 patients,al_hf-3
10018,southeast alabama medical center,1108 ross clark circle,,,anchoraxe,al,36302,houston,3347938701,acute care hospitals,governmenx - hospixal disxricx or auxhorixy,yes,heart failure,hf-4,children who received reliever medication while hospitalized for asthma,32%,31 patients,al_hf-4
10001,southeast alabama medical center,1108 ross clark circle,,,luverne,ak,36305,etowxh,3347938701,acute care hospitals,government - local,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,14%,165 patients,al_hf-2
10001,floxers hospital,1108 ross clark circle,,,faxette,xl,36302,elxore,25x47x7xx0,acute care hospitals,government - federal,xo,pneumonia,pn-3b,pneumonia patients given smoking cessation advice/counseling,87%,3x patients,al_pn-3b
10040,southeast alabama medical center,1010 lay dam road,,,dothan,ak,3x640,xhambers,3347938701,acute caxe hospitals,volxntary non-profit - chxrch,yes,hexrt attxck,pn-4,pneumonix pxtients given initixl antibiotic(s) within 6 hours after arrivxl,99%,107 patients,al_pn-4
10001,southeast alabama medical center,1108 ross clark circle,,,birminghxm,al,36302,chilton,3347935000,acute care hospitals,government - hospital district or authority,yex,children s asthma care,pn-5c,heart attack patients given fibrinolytic medication within 30 minutes of arrival,92%,196 patients,al_pn-5c
x0005,crenshaw community hospital,8000 alabama highway 69,,,birmingham,ak,36302,houston,33x2938000,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),32%,409 patients,al_scip-inf-3
10087,medical center enterprise,15155 highway 43,,,dothan,ax,x52xx,monxgomery,2569275531,acute care hospitals,government - hospital district or authority,yes,surgical infection xrevention,pn-7,pneumonia patients assessed and given influenza vaccination,x4%,827 patients,al_pn-7
10001,southeast alabama medical center,4370 west main street,,,dothan,al,x5007,houston,xx479x8701,acute care hospitals,voluntary non-profit - other,no,heart faxlure,scip-card-2,heart attack patients given smoking cessation advice/counseling,93x,79 patients,al_scip-card-2
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,al,35901,jefferson,3347938701,acute care hxspitals,voxuntary non-profit - church,yes,surgical infection prevention,pn-4,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,399 patients,al_scip-vte-1
10085,university of alabama hospital,515 mirxndx st,,,dothan,al,x590x,mobile,3347938701,acxte care hospitals,government - hospital district or authority,yxs,xeart failure,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,405 patients,al_scip-inf-2
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,ak,36302,houston,3347938701,acxte care hospitals,government - hospital district or authority,xes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),88%,48 patients,al_cac-1
10001,southeast alabama medical center,1108 ross clark circle,,,opp,al,36302,houston,2058383122,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-4,heaxt attack patients given aspixin at dischaxge,93%,350 patients,ak_hf-3
10001,chilton medical center,1108 ross clark circle,,,fort payxe,al,36278,houston,3347935000,acute care hospitaxs,gxvernment - hxspital district xr authxrity,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),1xx%,537 patients,ak_pn-5c
10001,southeast alabama medxcal center,150 gilxreath drive,,,dothan,xl,36302,cxffee,334x836541,acute care hxspitals,gxvernment - hxspital district xr authxrity,yes,xeart failure,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,89x,185 patients,al_scip-vte-1
10001,southeast alabama medical center,805 friendship road,,,dothan,al,36302,cxffee,3347938701,acute cxre hospitxls,government - hospital district or authority,yex,surgical infection xrevention,scip-vte-2,heart faxlure patxents gxven ace inhxbxtor or arb for left ventrxcular systolxc dysfunctxon (lvsd),83%,292 patients,al_scip-vte-2
10005,flowers hospital,2505 u s highway 431 north,,,boaz,al,x5957,marshall,2565938310,acute care hospitals,gxvernment - hxspital district xr authxrity,yes,surgxcal infectxon preventxon,ami-1,heart attack patients given aspirin at discharge,xx%,20 patients,ak_scip-inf-4
x0005,marshall medical cenxer norxh,2505 u s highway 431 north,,,boaz,al,35957,marshall,33x361x267,acute xare hospitals,government - hospital district or authority,xes,heart attack,hx-1,heart attack patients given aspirin at discharge,72%,253 patients,al_ami-1
10005,marshall medical center south,2505 u s highway 431 north,,,gxdsden,ak,36067,marshall,2565938310,acxte care hospitals,government - hospital district or authority,yes,heart faxlure,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,412 patients,al_hf-3
1xx36,marshall medical center south,205 marengo street,,,enterprise,ak,35957,madison,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,heart attack patients given smoking cessation advice/counseling,,0 patients,al_ami-4
10027,marshall medical center south,2505 u s highway 431 north,,,montxomery,al,35957,elxore,2059216200,acutx carx hospitals,volxntary non-profit - chxrch,yex,heart attack,amx-4,children who received reliever medication while hospitalized for asthma,100%,5 patients,al_scip-inf-3
10005,marshall medical center south,805 friendship road,,,wedowee,al,35957,autauga,2565938310,acute care hospitals,government - hospital district or authority,yes,suxgical infection pxevention,ami-7a,hearx failure paxienxs given smoking cessaxion advice/counseling,,0 patients,al_hx-2
10005,floxers hospital,2000 pepperell parkway,,,boaz,al,35957,marshall,xx479x5000,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,surgeryxpatientsxneedingxhairxremovedxfromxthexsurgicalxareaxbeforexsurgery& xwhoxhadxhairxremovedxusingxaxsaferxmethodx(electricxclippersxorxhairxremovalxcreamxï¿½cxnotxaxrazor),,147 patients,ak_scip-inf-1
10005,andalusia regional hospital,2505 u s highway 431 north,,,andalusia,al,35957,chxrokxx,2565938310,acute care hospitals,government - hospital district or authority,xes,pnexmonia,amix2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,78%,110 patients,al_pn-2
10005,univ ox south alabama medical center,301 east 1xth st,,,boaz,xl,35957,marshall,2565938310,acute care hoxpitalx,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,94%,160 patients,ak_ami-2
1xx15,wedowee hosxital,2505 u s highway 431 north,,,boaz,ak,35957,marshall,2567688400,acute care hospitals,government - hospital district or authority,no,hxart failurx,axi-4,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),90%,69 patients,al_hf-3
