ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233,jefferson,2053258100,acute care hospitals,,,surgical infection prevention,,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,,,
,callahan eye foundation hospital,1720 university blvd,,,birmingham,,35233,jefferson,,,,,,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,al_scip-inf-1
,callahan eye foundation hospital,,,,birmingham,,35233,jefferson,2053258100,,voluntary non-profit - private,yes,,,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_scip-inf-2
10018,,,,,,al,35233,jefferson,,,voluntary non-profit - private,,surgical infection prevention,scip-inf-3,,,,
,,1720 university blvd,,,,,35233,,2053258100,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-inf-4,,,,
,callahan eye foundation hospital,1720 university blvd,,,,,35233,jefferson,2053258100,acute care hospitals,,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,al_scip-inf-6
,,1720 university blvd,,,birmingham,al,35233,jefferson,,acute care hospitals,,,,,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,
,callahan eye foundation hospital,,,,birmingxam,,35233,jefferson,2053258100,acute care hospitals,,yes,surgical infection prevention,,,,,al_scip-vte-2
,helen keller memorial hospital,,,,,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,,,heart attack patients given aspirin at arrival,,,
10019,,1300 south montgomery avenue,,,,al,35660,,,acute care hospitals,,yes,heart attack,ami-2,,,,al_ami-2
,,1300 south montgomery avenue,,,sheffxeld,al,35660,jefferson,2563864556,,government - hospital district or authority,,heart attack,,,,,
10019,,1300 south montgomery avenue,,,sheffield,al,,,2563864556,,,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,
,helen keller memorial hospital,1300 south montgomery avenue,,,,al,35660,jefferson,,acute care hospitals,,yes,,ami-5,,86%,14 patients,
,,,,,sheffield,,35660,,,acute care hospitals,,,heart attack,ami-7a,,,0 patients,
10019,,1300 south montgomery avenue,,,,,35660,jefferson,,acute care hospitals,,yes,,ami-8a,,,0 patients,al_ami-8a
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,,,2563864556,,government - hospital district or authority,yes,,,heart failure patients given discharge instructions,,,al_hf-1
10019,helen keller memorial hospital,,,,,al,35660,jefferson,,,government - hospital district or authority,yes,heart failure,,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 patients,al_hf-2
