,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
0,10018.0,callahan eye foundation hospital,1720 university blvd,,,birmingham,,35233.0,jefferson,2053258100.0,,voluntary non-profit - private,,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,
1,10018.0,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233.0,,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,,,,
2,,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,,al_ami-3
3,10007.0,mizell memorial hospital,702 n main st,,,opp,al,36467.0,,3344933541.0,,voluntary non-profit - private,no,heart attack,ami-8a,,,0 patients,al_ami-8a
4,,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,heart failure,,heart failure patients given discharge instructions,,,al_hf-1
5,10007.0,mizell memorial hospital,,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,87%,76 patients,al_hf-2
6,,,702 n main st,,,opp,al,36467.0,covington,,,,no,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),64%,14 patients,al_hf-3
7,10007.0,mizell memorial hospital,702 n main st,,,,,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,heart failure,,heart failure patients given smoking cessation advice/counseling,100%,8 patients,al_hf-4
8,10007.0,mizell memorial hospital,702 n main st,,,opp,,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,85 patients,al_pn-2
9,10007.0,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,,pn-3b,,78%,64 patients,al_pn-3b
10,10007.0,,702 n main st,,,opp,al,36467.0,covington,3344933541.0,,voluntary non-profit - private,,pneumonia,,pneumonia patients given smoking cessation advice/counseling,100%,28 patients,al_pn-4
11,,mizell memorial hospital,,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,,,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,,al_pn-5c
12,10007.0,mizell memorial hospital,702 n main st,,,opp,al,,covington,3344933541.0,acute care hospitals,,no,pneumonia,pn-6,,88%,57 patients,al_pn-6
13,10019.0,helen keller memorial hospital,,,,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
14,10007.0,mizell memorial hospital,702 n main st,,,,al,,covington,3344933541.0,acute care hospitals,,no,,pn-7,,,63 patients,al_pn-7
15,10007.0,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,91%,11 patients,al_scip-card-2
16,,mizell memorial hospital,,,,,al,36467.0,covington,,acute care hospitals,voluntary non-profit - private,no,,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,101 patients,al_scip-inf-1
17,10007.0,,,,,,al,36467.0,,,,voluntary non-profit - private,no,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,91%,101 patients,al_scip-inf-2
18,,mizell memorial hospital,,,,opp,al,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),93%,100 patients,al_scip-inf-3
19,10007.0,mizell memorial hospital,702 n main st,,,,al,36467.0,,3344933541.0,acute care hospitals,voluntary non-profit - private,no,,scip-inf-4,,,0 patients,al_scip-inf-4
20,10007.0,,,,,opp,al,36467.0,,,acute care hospitals,,no,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,,al_scip-inf-6
21,10007.0,mizell memorial hospital,702 n main st,,,,al,,covington,,,voluntary non-profit - private,no,,scip-vte-1,,87%,77 patients,al_scip-vte-1
22,10007.0,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,76 patients,al_scip-vte-2
23,,crenshaw community hospital,101 hospital circle,,,luverne,,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,,ami-1,heart attack patients given aspirin at arrival,,1 patients,al_ami-1
24,10019.0,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,,jefferson,2563864556.0,,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,,14 patients,al_ami-5
25,10008.0,crenshaw community hospital,101 hospital circle,,,luverne,al,,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,,1 patients,al_ami-2
26,10008.0,crenshaw community hospital,101 hospital circle,,,luverne,,36049.0,crenshaw,3343353374.0,acute care hospitals,,,,ami-3,,,0 patients,al_ami-3
27,,crenshaw community hospital,101 hospital circle,,,,,36049.0,crenshaw,3343353374.0,,government - federal,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,,0 patients,al_ami-4
28,10008.0,,101 hospital circle,,,,al,,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,,ami-5,,0%,1 patients,al_ami-5
29,10008.0,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,,al_ami-7a
30,10008.0,,101 hospital circle,,,luverne,al,36049.0,crenshaw,,acute care hospitals,,,heart attack,ami-8a,,,0 patients,al_ami-8a
31,10008.0,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,,3343353374.0,acute care hospitals,government - federal,yes,,hf-1,heart failure patients given discharge instructions,4%,26 patients,al_hf-1
32,10008.0,crenshaw community hospital,,,,,,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,,,
33,10008.0,crenshaw community hospital,101 hospital circle,,,,al,36049.0,crenshaw,,acute care hospitals,government - federal,,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,8 patients,al_hf-3
34,,crenshaw community hospital,101 hospital circle,,,,,36049.0,crenshaw,3343353374.0,acute care hospitals,,yes,,hf-4,heart failure patients given smoking cessation advice/counseling,0%,5 patients,al_hf-4
35,10019.0,helen keller memorial hospital,1300 south montgomery avenue,,,,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,al_ami-7a
